"Date","Open","High","Low","Close","Volume","Adjusted"
2020-01-01,740.950012207031,742.467529296875,735.612487792969,738.952514648438,477180,694.309326171875
2020-01-02,742.445007324219,742.647521972656,734.357482910156,736.467529296875,922320,691.974487304688
2020-01-03,737.5,739.75,727.804992675781,729.679992675781,8e+05,685.596984863281
2020-01-06,727.099975585938,727.099975585938,713.75,720.83251953125,1302720,677.283996582031
2020-01-07,721.177490234375,727.337524414062,713.04248046875,714.537475585938,1444740,671.369262695312
2020-01-08,709.580017089844,722.5,706.017517089844,719.5625,789760,676.090759277344
2020-01-09,724.75,733.75,722.5,732.172485351562,1114160,687.938781738281
2020-01-10,732.172485351562,735.945007324219,728.512512207031,734.29248046875,785480,689.930786132812
2020-01-13,737.39501953125,737.39501953125,730.049987792969,732.912475585938,539800,688.634155273438
2020-01-14,732.89501953125,744.75,730.349975585938,743.429992675781,1007560,698.516479492188
2020-01-15,741.400024414062,747.5,735.942504882812,743.010009765625,829360,698.121765136719
2020-01-16,742.549987792969,769.900024414062,742.405029296875,767.744995117188,4064160,721.3623046875
2020-01-17,769.950012207031,780,767.932495117188,771.972473144531,1927980,725.334411621094
2020-01-20,761.507507324219,773.969970703125,761.507507324219,770.862487792969,1375400,724.291564941406
2020-01-21,768.052490234375,775.080017089844,760,764.037475585938,1265160,717.878845214844
2020-01-22,768.450012207031,779.25,765.049987792969,777.434997558594,1112540,730.466918945312
2020-01-23,775,781.25,772.75,777.442504882812,857220,730.473999023438
2020-01-24,780,792.5,775.007507324219,787.775024414062,1012640,740.182250976562
2020-01-27,785,792.25,777.997497558594,783.302490234375,627240,735.97998046875
2020-01-28,783.200012207031,785.5,768.340026855469,770.83251953125,1062140,724.263366699219
2020-01-29,779.25,794.997497558594,772,793.337524414062,1285020,745.408752441406
2020-01-30,790.099975585938,790.54248046875,773.5625,776.039978027344,945040,729.15625
2020-01-31,778,781.862487792969,765.515014648438,767.972473144531,1192980,721.576049804688
2020-02-03,779.450012207031,825,776.5,815.049987792969,4075040,765.809448242188
2020-02-04,820,825.39501953125,806.352478027344,822.780029296875,2328320,773.072509765625
2020-02-05,823.799987792969,824.094970703125,812.802490234375,819.242492675781,1150220,769.748657226562
2020-02-06,819.950012207031,827.472473144531,807.890014648438,814.247497558594,1481680,765.055419921875
2020-02-07,817,819.25,809.72998046875,816.390014648438,828140,767.068481445312
2020-02-10,815,818.655029296875,805.599975585938,808.609985351562,1225400,759.758483886719
2020-02-11,812,815.002502441406,797.5,799.857482910156,1467000,751.534790039062
2020-02-12,801.299987792969,823.630004882812,798.422485351562,814.885009765625,2580220,765.654357910156
2020-02-13,816.400024414062,823.075012207031,813.867492675781,820.609985351562,3024560,771.033569335938
2020-02-14,825,839.119995117188,812.5,817.822509765625,3314160,768.41455078125
2020-02-17,820.650024414062,830.75,818.650024414062,829.422485351562,2795760,779.313659667969
2020-02-18,828.494995117188,828.494995117188,819.252502441406,820.192504882812,1800260,770.641296386719
2020-02-19,826.929992675781,841.575012207031,823.789978027344,839.252502441406,1900000,788.549682617188
2020-02-20,837,837,826.27001953125,826.974975585938,1314640,777.014099121094
2020-02-24,824.950012207031,828.837524414062,815.849975585938,816.862487792969,1330320,767.512329101562
2020-02-25,818.650024414062,827.04248046875,815.467529296875,819.025024414062,1818320,769.544311523438
2020-02-26,827.25,827.25,807.502502441406,812.007507324219,2336780,762.95068359375
2020-02-27,815,817.04248046875,802.875,813.1875,1803980,764.059509277344
2020-02-28,802.099975585938,806.452514648438,784,788.942504882812,2813460,741.279235839844
2020-03-02,797.5,815.75,795.049987792969,805.497497558594,2344640,756.834045410156
2020-03-03,806.512512207031,824.950012207031,806.512512207031,817.969970703125,1867440,768.552978515625
2020-03-04,819.849975585938,831.625,801,827.075012207031,2234220,777.108032226562
2020-03-05,827.5,841.757507324219,824.125,828.815002441406,1701800,778.742858886719
2020-03-06,817.905029296875,828.277526855469,810.005004882812,821.465026855469,1724240,771.837036132812
